"phenotype","description","variable_type","n_non_missing","n_missing","n_controls","n_cases"
"1747_4","Hair colour (natural, before greying): Dark brown","binary",360270,924,225643,134627
"1747_5","Hair colour (natural, before greying): Black","binary",360270,924,344461,15809
"1747_6","Hair colour (natural, before greying): Other","binary",360270,924,355789,4481
"1767","Adopted as a child","binary",360450,744,355292,5158
"1777","Part of a multiple birth","binary",355467,5727,347548,7919
"1787","Maternal smoking around birth","binary",309942,51252,214760,95182
"1797","Father still alive","binary",351538,9656,270309,81229
"1835","Mother still alive","binary",355029,6165,214783,140246
"1920","Mood swings","binary",352604,8590,193622,158982
"1930","Miserableness","binary",355182,6012,203430,151752
"1940","Irritability","binary",345231,15963,248369,96862
"1950","Sensitivity / hurt feelings","binary",350821,10373,156066,194755
"1960","Fed-up feelings","binary",353764,7430,210432,143332
"1970","Nervous feelings","binary",351829,9365,268709,83120
"1980","Worrier / anxious feelings","binary",351833,9361,152370,199463
"1990","Tense / 'highly strung'","binary",350159,11035,289646,60513
"2000","Worry too long after embarrassment","binary",346527,14667,181217,165310
"2010","Suffer from 'nerves'","binary",348082,13112,274144,73938
"2020","Loneliness, isolation","binary",355583,5611,292075,63508
"2030","Guilty feelings","binary",351907,9287,251779,100128
"2040","Risk taking","binary",348549,12645,258049,90500
"2090","Seen doctor (GP) for nerves, anxiety, tension or depression","binary",358693,2501,235165,123528
"2100","Seen a psychiatrist for nerves, anxiety, tension or depression","binary",359535,1659,318302,41233
"2129","Answered sexual history questions","binary",361015,179,29611,331404
"2159","Ever had same-sex intercourse","binary",326849,34345,315740,11109
"2188","Long-standing illness, disability or infirmity","binary",352798,8396,238000,114798
"2207","Wears glasses or contact lenses","binary",360677,517,38909,321768
"2227","Other eye problems","binary",360134,1060,308414,51720
"2247_0","Hearing difficulty/problems: No","binary",346635,14559,90797,255838
"2247_1","Hearing difficulty/problems: Yes","binary",346635,14559,255925,90710
"2257","Hearing difficulty/problems with background noise","binary",353983,7211,219842,134141
"2316","Wheeze or whistling in the chest in last year","binary",354523,6671,280695,73828
"2335","Chest pain or discomfort","binary",357507,3687,301274,56233
"2345","Ever had bowel cancer screening","binary",355353,5841,240878,114475
"2365","Ever had prostate specific antigen (PSA) test","binary",158108,203086,108649,49459
"2395_1","Hair/balding pattern: Pattern 1","binary",165649,195545,112573,53076
"2395_2","Hair/balding pattern: Pattern 2","binary",165649,195545,127605,38044
"2395_3","Hair/balding pattern: Pattern 3","binary",165649,195545,121345,44304
"2395_4","Hair/balding pattern: Pattern 4","binary",165649,195545,135424,30225
"2415","Had major operations","binary",165737,195457,59231,106506
"2443","Diabetes diagnosed by doctor","binary",360192,1002,342917,17275
"2453","Cancer diagnosed by doctor","binary",359981,1213,331472,28509
"2463","Fractured/broken bones in last 5 years","binary",359241,1953,324461,34780
"2473","Other serious medical condition/disability diagnosed by doctor","binary",354588,6606,281623,72965
"2492","Taking other prescription medications","binary",360027,1167,191034,168993
"2644","Light smokers, at least 100 smokes in lifetime","binary",97021,264173,52768,44253
"2654_7","Non-butter spread type details: Polyunsaturated/sunflower oil based spread (eg: Flora)","binary",190094,171100,125769,64325
"2654_2","Non-butter spread type details: Flora Pro-Active or Benecol","binary",190094,171100,161046,29048
"2654_4","Non-butter spread type details: Soft (tub) margarine","binary",190094,171100,166469,23625
"2654_5","Non-butter spread type details: Hard (block) margarine","binary",190094,171100,189873,221
"2654_6","Non-butter spread type details: Olive oil based spread (eg: Bertolli)","binary",190094,171100,143064,47030
"2654_8","Non-butter spread type details: Other low or reduced fat spread","binary",190094,171100,171059,19035
"2654_9","Non-butter spread type details: Other type of spread/margarine","binary",190094,171100,183284,6810
"2664_5","Reason for reducing amount of alcohol drunk: Other reason","binary",134033,227161,63424,70609
"2664_1","Reason for reducing amount of alcohol drunk: Illness or ill health","binary",134033,227161,124521,9512
"2664_2","Reason for reducing amount of alcohol drunk: Doctor's advice","binary",134033,227161,131043,2990
"2664_3","Reason for reducing amount of alcohol drunk: Health precaution","binary",134033,227161,90165,43868
"2664_4","Reason for reducing amount of alcohol drunk: Financial reasons","binary",134033,227161,126979,7054
"2724","Had menopause","binary",163184,198010,43829,119355
"2814","Ever used hormone-replacement therapy (HRT)","binary",193606,167588,117427,76179
"2834","Bilateral oophorectomy (both ovaries removed)","binary",191515,169679,175886,15629
"2844","Had other major operations","binary",192470,168724,63035,129435
"2877_1","Type of tobacco previously smoked: Manufactured cigarettes","binary",89224,271970,10111,79113
"2877_2","Type of tobacco previously smoked: Hand-rolled cigarettes","binary",89224,271970,83246,5978
"2877_3","Type of tobacco previously smoked: Cigars or pipes","binary",89224,271970,85091,4133
"2907","Ever stopped smoking for 6+ months","binary",87937,273257,50034,37903
"2956","General pain for 3+ months","binary",5473,355721,903,4570
"2986","Started insulin within one year diagnosis of diabetes","binary",16415,344779,14416,1999
"3005","Fracture resulting from simple fall","binary",34310,326884,13926,20384
"3079","Pace-maker","binary",360866,328,359727,1139
"3082","Fractured heel","binary",238226,122968,140,238086
"3089","Caffeine drink within last hour","binary",331625,29569,324701,6924
"3090","Used an inhaler for chest within last hour","binary",331625,29569,329201,2424
"3159","Smoked cigarette or pipe within last hour","binary",33210,327984,28972,4238
"3393","Hearing aid user","binary",219358,141836,208416,10942
"3404","Neck/shoulder pain for 3+ months","binary",81276,279918,25120,56156
"3414","Hip pain for 3+ months","binary",40061,321133,8758,31303
"3446_1","Type of tobacco currently smoked: Manufactured cigarettes","binary",27583,333611,8480,19103
"3446_2","Type of tobacco currently smoked: Hand-rolled cigarettes","binary",27583,333611,21114,6469
"3446_3","Type of tobacco currently smoked: Cigars or pipes","binary",27583,333611,25572,2011
"3571","Back pain for 3+ months","binary",90555,270639,28500,62055
"3591","Ever had hysterectomy (womb removed)","binary",171413,189781,157440,13973
"3606","Chest pain or discomfort walking normally","binary",55737,305457,46120,9617
"3616","Chest pain due to walking ceases when standing still","binary",20222,340972,3779,16443
"3731","Former alcohol drinker","binary",23745,337449,11181,12564
"3741","Stomach/abdominal pain for 3+ months","binary",29747,331447,13167,16580
"3751","Chest pain or discomfort when walking uphill or hurrying","binary",44867,316327,32929,11938
"3773","Knee pain for 3+ months","binary",76000,285194,16186,59814
"3799","Headaches for 3+ months","binary",70181,291013,38106,32075
"3859_5","Reason former drinker stopped drinking alcohol: Other reason","binary",12110,349084,6582,5528
"3859_1","Reason former drinker stopped drinking alcohol: Illness or ill health","binary",12110,349084,8931,3179
"3859_2","Reason former drinker stopped drinking alcohol: Doctor's advice","binary",12110,349084,11410,700
"3859_3","Reason former drinker stopped drinking alcohol: Health precaution","binary",12110,349084,9640,2470
"3859_4","Reason former drinker stopped drinking alcohol: Financial reasons","binary",12110,349084,11877,233
"3912","Adopted father still alive","binary",3507,357687,2963,544
"3942","Adopted mother still alive","binary",3812,357382,2734,1078
"4041","Gestational diabetes only","binary",6119,355075,5428,691
"4067","Facial pains for 3+ months","binary",6510,354684,3403,3107
"4291","Number of attempts","binary",119729,241465,23991,95738
"4294_1","Final attempt correct: yes","binary",119729,241465,4722,115007
"4294_0","Final attempt correct: no","binary",119729,241465,115148,4581
"4294_9","Final attempt correct: abandon","binary",119729,241465,119588,141
"4501","Non-accidental death in close genetic family","binary",113705,247489,82661,31044
"4598","Ever depressed for a whole week","binary",117705,243489,54586,63119
"4631","Ever unenthusiastic/disinterested for a whole week","binary",115145,246049,72771,42374
"4642","Ever manic/hyper for 2 days","binary",117155,244039,110586,6569
"4653","Ever highly irritable/argumentative for 2 days","binary",117359,243835,96429,20930
"4717","Shortness of breath walking on level ground","binary",118006,243188,105588,12418
"4728","Leg pain on walking","binary",118905,242289,92908,25997
"4803_0","Tinnitus: No, never","binary",117882,243312,34267,83615
"4803_11","Tinnitus: Yes, now most or all of the time","binary",117882,243312,110143,7739
"4803_12","Tinnitus: Yes, now a lot of the time","binary",117882,243312,114923,2959
"4803_13","Tinnitus: Yes, now some of the time","binary",117882,243312,107393,10489
"4803_14","Tinnitus: Yes, but not now, but have in the past","binary",117882,243312,104802,13080
"4849_1","Hearing test done: Yes","binary",119880,241314,2675,117205
"4849_0","Hearing test done: No, I am unable to do this","binary",119880,241314,118550,1330
"4849_11","Hearing test done: I can only hear on the right side","binary",119880,241314,119182,698
"4849_12","Hearing test done: I can only hear on the left side","binary",119880,241314,119233,647
"4924","Attempted fluid intelligence (FI) test.","binary",118657,242537,1526,117131
"4935","FI1 : numeric addition test","binary",116723,244471,4758,111965
"4946","FI2 : identify largest number","binary",116869,244325,950,115919
"4957","FI3 : word interpolation","binary",116815,244379,18062,98753
"4968","FI4 : positional arithmetic","binary",115690,245504,17346,98344
"4979","FI5 : family relationship calculation","binary",113356,247838,57434,55922
"4990","FI6 : conditional arithmetic","binary",102181,259013,32237,69944
"5001","FI7 : synonym","binary",84560,276634,10534,74026
"5012","FI8 : chained arithmetic","binary",75692,285502,26606,49086
"5181","Ever had eye surgery","binary",79912,281282,74087,5825
"5182_1","Both eyes present: Yes","binary",80386,280808,103,80283
"5183","Current eye infection","binary",80386,280808,79548,838
"5324_0","Ever had cataract surgery: No","binary",5799,355395,1662,4137
"5324_2","Ever had cataract surgery: Right eye only","binary",5799,355395,5420,379
"5324_3","Ever had cataract surgery: Left eye only","binary",5799,355395,5493,306
"5324_4","Ever had cataract surgery: Both eyes","binary",5799,355395,4822,977
"5325_0","Ever had refractive laser eye surgery: No","binary",5719,355475,1634,4085
"5325_2","Ever had refractive laser eye surgery: Right eye only","binary",5719,355475,5512,207
"5325_3","Ever had refractive laser eye surgery: Left eye only","binary",5719,355475,5550,169
"5325_4","Ever had refractive laser eye surgery: Both eyes","binary",5719,355475,4461,1258
"5327_0","Ever had laser treatment for glaucoma or high eye pressure: No","binary",5788,355406,191,5597
"5327_4","Ever had laser treatment for glaucoma or high eye pressure: Both eyes","binary",5788,355406,5650,138
"5328_0","Ever had corneal graft surgery: No","binary",5786,355408,142,5644
"5452","Leg pain when standing still or sitting","binary",25157,336037,9148,16009
"5463","Leg pain in calf/calves","binary",25567,335627,17105,8462
"5474","Leg pain when walking uphill or hurrying","binary",24997,336197,7747,17250
"5485","Leg pain when walking normally","binary",25305,335889,10993,14312
"5496","Leg pain when walking ever disappears while walking","binary",13845,347349,9007,4838
"5518","Leg pain on walking : effect of standing still","binary",22495,338699,13695,8800
"5529","Surgery on leg arteries (other than for varicose veins)","binary",25890,335304,24921,969
"5540_0","Surgery/amputation of toe or leg: No","binary",25891,335303,287,25604
"5540_1","Surgery/amputation of toe or leg: Yes, toes","binary",25891,335303,25742,149
"5556","FI9 : concept interpolation","binary",35147,326047,15446,19701
"5610_3","Which eye(s) affected by presbyopia: Both eyes","binary",31494,329700,3485,28009
"5610_1","Which eye(s) affected by presbyopia: Right eye","binary",31494,329700,29759,1735
"5610_2","Which eye(s) affected by presbyopia: Left eye","binary",31494,329700,29744,1750
"5663","Length of longest manic/irritable episode","binary",19474,341720,4092,15382
"5674","Severity of manic/irritable episodes","binary",20984,340210,5768,15216
"5699","FI10 : arithmetic sequence recognition","binary",20880,340314,4159,16721
"5779","FI11 : antonym","binary",12493,348701,3550,8943
"5832_3","Which eye(s) affected by hypermetropia (long sight): Both eyes","binary",15090,346104,2184,12906
"5832_1","Which eye(s) affected by hypermetropia (long sight): Right eye","binary",15090,346104,13964,1126
"5832_2","Which eye(s) affected by hypermetropia (long sight): Left eye","binary",15090,346104,14032,1058
"5843_3","Which eye(s) affected by myopia (short sight): Both eyes","binary",29317,331877,3133,26184
"5843_1","Which eye(s) affected by myopia (short sight): Right eye","binary",29317,331877,27710,1607
"5843_2","Which eye(s) affected by myopia (short sight): Left eye","binary",29317,331877,27791,1526
"5855_3","Which eye(s) affected by astigmatism: Both eyes","binary",9749,351445,3045,6704
"5855_1","Which eye(s) affected by astigmatism: Right eye","binary",9749,351445,8298,1451
"5855_2","Which eye(s) affected by astigmatism: Left eye","binary",9749,351445,8155,1594
"5866","FI13 : subset inclusion logic","binary",2964,358230,2317,647
"5959","Previously smoked cigarettes on most/all days","binary",2005,359189,660,1345
"22604_3","Work hours - lumped category: 30 to 40 hours","binary",75177,286017,23039,52138
"22604_4","Work hours - lumped category: Over 40 hours","binary",75177,286017,37976,37201
"22604_2","Work hours - lumped category: 20 to less-than-30 hours","binary",75177,286017,60021,15156
"22604_1","Work hours - lumped category: 15 to less-than-20 hours","binary",75177,286017,65091,10086
"22606_1","Workplace very noisy: Sometimes","binary",90777,270417,39088,51689
"22606_0","Workplace very noisy: Rarely/never","binary",90897,270297,21382,69515
"22606_2","Workplace very noisy: Often","binary",90653,270541,73184,17469
"22607_0","Workplace very cold: Rarely/never","binary",90696,270498,13643,77053
"22607_1","Workplace very cold: Sometimes","binary",90500,270694,47677,42823
"22607_2","Workplace very cold: Often","binary",90188,271006,82307,7881
"22608_0","Workplace very hot: Rarely/never","binary",90644,270550,21939,68705
"22608_1","Workplace very hot: Sometimes","binary",90544,270650,38335,52209
"22608_2","Workplace very hot: Often","binary",90165,271029,79996,10169
"22609_0","Workplace very dusty: Rarely/never","binary",90543,270651,9081,81462
"22609_2","Workplace very dusty: Often","binary",89631,271563,80070,9561
"22609_1","Workplace very dusty: Sometimes","binary",89965,271229,58379,31586
"22610_0","Workplace full of chemical or other fumes: Rarely/never","binary",90344,270850,4986,85358
"22610_1","Workplace full of chemical or other fumes: Sometimes","binary",89060,272134,67351,21709
"22610_2","Workplace full of chemical or other fumes: Often","binary",88735,272459,82863,5872
"22611_0","Workplace had a lot of cigarette smoke from other people smoking: Rarely/never","binary",90716,270478,13422,77294
"22611_1","Workplace had a lot of cigarette smoke from other people smoking: Sometimes","binary",90168,271026,45115,45053
"22611_2","Workplace had a lot of cigarette smoke from other people smoking: Often","binary",89803,271391,74862,14941
"22612_0","Worked with materials containing asbestos: Rarely/never","binary",85668,275526,2162,83506
"22612_1","Worked with materials containing asbestos: Sometimes","binary",77361,283833,68964,8397
"22612_2","Worked with materials containing asbestos: Often","binary",76457,284737,75195,1262
"22613_0","Worked with paints, thinners or glues: Rarely/never","binary",90389,270805,3593,86796
"22613_2","Worked with paints, thinners or glues: Often","binary",88718,272476,84995,3723
"22613_1","Worked with paints, thinners or glues: Sometimes","binary",89003,272191,74908,14095
"22614_0","Worked with pesticides: Rarely/never","binary",90145,271049,534,89611
"22614_1","Worked with pesticides: Sometimes","binary",88141,273053,84756,3385
"22614_2","Worked with pesticides: Often","binary",88019,273175,87495,524
"22615_0","Workplace had a lot of diesel exhaust: Rarely/never","binary",90376,270818,2678,87698
"22615_1","Workplace had a lot of diesel exhaust: Sometimes","binary",89310,271884,76272,13038
"22615_2","Workplace had a lot of diesel exhaust: Often","binary",89104,272090,85621,3483
"22616_0","Breathing problems during period of job: No","binary",91149,270045,1558,89591
"22616_1","Breathing problems during period of job: Yes","binary",91149,270045,84452,6697
"22617_2315","Job SOC coding: Primary and nursery education teaching professionals","binary",91149,270045,85524,5625
"22617_2451","Job SOC coding: Librarians","binary",91149,270045,89901,1248
"22617_3113","Job SOC coding: Engineering technicians","binary",91149,270045,90106,1043
"22617_1173","Job SOC coding: Senior officers in fire, ambulance, prison and related services","binary",91149,270045,90913,236
"22617_4111","Job SOC coding: Civil Service executive officers","binary",91149,270045,87674,3475
"22617_4215","Job SOC coding: Personal assistants and other secretaries","binary",91149,270045,85731,5418
"22617_2132","Job SOC coding: Software professionals","binary",91149,270045,87630,3519
"22617_3539","Job SOC coding: Business and related associate professionals n.e.c.","binary",91149,270045,89169,1980
"22617_2421","Job SOC coding: Chartered and certified accountants","binary",91149,270045,89177,1972
"22617_5421","Job SOC coding: Originators, compositors and print preparers","binary",91149,270045,90965,184
"22617_2121","Job SOC coding: Civil engineers","binary",91149,270045,90214,935
"22617_4123","Job SOC coding: Counter clerks","binary",91149,270045,87992,3157
"22617_4132","Job SOC coding: Pensions and insurance clerks","binary",91149,270045,89879,1270
"22617_3533","Job SOC coding: Insurance underwriters","binary",91149,270045,90636,513
"22617_9119","Job SOC coding: Fishing and agriculture related occupations n.e.c.","binary",91149,270045,90967,182
"22617_5434","Job SOC coding: Chefs, cooks","binary",91149,270045,90343,806
"22617_3119","Job SOC coding: Science and engineering technicians n.e.c.","binary",91149,270045,89131,2018
"22617_2211","Job SOC coding: Medical practitioners","binary",91149,270045,89649,1500
"22617_2112","Job SOC coding: Biological scientists and biochemists","binary",91149,270045,90082,1067
"22617_7111","Job SOC coding: Sales and retail assistants","binary",91149,270045,86477,4672
"22617_2312","Job SOC coding: Further education teaching professionals","binary",91149,270045,88629,2520
"22617_4150","Job SOC coding: General office assistants/clerks","binary",91149,270045,87127,4022
"22617_3211","Job SOC coding: Nurses","binary",91149,270045,86087,5062
"22617_9139","Job SOC coding: Labourers in process and plant operations n.e.c.","binary",91149,270045,90160,989
"22617_3543","Job SOC coding: Marketing associate professionals","binary",91149,270045,90478,671
"22617_2314","Job SOC coding: Secondary education teaching professionals","binary",91149,270045,83467,7682
"22617_5231","Job SOC coding: Motor mechanics, auto engineers","binary",91149,270045,90370,779
"22617_8137","Job SOC coding: Sewing machinists","binary",91149,270045,90704,445
"22617_3311","Job SOC coding: NCOs and other ranks","binary",91149,270045,89091,2058
"22617_5315","Job SOC coding: Carpenters and joiners","binary",91149,270045,90559,590
"22617_6221","Job SOC coding: Hairdressers, barbers","binary",91149,270045,90722,427
"22617_3431","Job SOC coding: Journalists, newspaper and periodical editors","binary",91149,270045,90642,507
"22617_3221","Job SOC coding: Physiotherapists","binary",91149,270045,90664,485
"22617_9219","Job SOC coding: Elementary office occupations n.e.c.","binary",91149,270045,87809,3340
"22617_3312","Job SOC coding: Police officers (sergeant and below)","binary",91149,270045,89981,1168
"22617_2123","Job SOC coding: Electrical engineers","binary",91149,270045,90482,667
"22617_7211","Job SOC coding: Call centre agents/operators","binary",91149,270045,90373,776
"22617_3541","Job SOC coding: Buyers and purchasing officers","binary",91149,270045,90745,404
"22617_3132","Job SOC coding: IT user support technicians","binary",91149,270045,90442,707
"22617_4217","Job SOC coding: Typists","binary",91149,270045,88129,3020
"22617_2442","Job SOC coding: Social workers","binary",91149,270045,89640,1509
"22617_5216","Job SOC coding: Pipe fitters","binary",91149,270045,90926,223
"22617_4113","Job SOC coding: Local government clerical officers and assistants","binary",91149,270045,86326,4823
"22617_1136","Job SOC coding: Information and communication technology managers","binary",91149,270045,89515,1634
"22617_3534","Job SOC coding: Finance and investment analysts/advisers","binary",91149,270045,90281,868
"22617_2129","Job SOC coding: Engineering professionals n.e.c.","binary",91149,270045,90393,756
"22617_3563","Job SOC coding: Vocational and industrial trainers and instructors","binary",91149,270045,90134,1015
"22617_7125","Job SOC coding: Merchandisers and window dressers","binary",91149,270045,90957,192
"22617_3422","Job SOC coding: Product, clothing and related designers","binary",91149,270045,90914,235
"22617_4122","Job SOC coding: Accounts and wages clerks, book-keepers, other financial clerks","binary",91149,270045,88397,2752
"22617_1151","Job SOC coding: Financial institution managers","binary",91149,270045,89829,1320
"22617_1234","Job SOC coding: Shopkeepers and wholesale/retail dealers","binary",91149,270045,89682,1467
"22617_4216","Job SOC coding: Receptionists","binary",91149,270045,89742,1407
"22617_6214","Job SOC coding: Air travel assistants","binary",91149,270045,90795,354
"22617_2321","Job SOC coding: Scientific researchers","binary",91149,270045,89959,1190
"22617_2411","Job SOC coding: Solicitors and lawyers, judges and coroners","binary",91149,270045,90061,1088
"22617_1134","Job SOC coding: Advertising and public relations managers","binary",91149,270045,90541,608
"22617_9233","Job SOC coding: Cleaners, domestics","binary",91149,270045,90487,662
"22617_2111","Job SOC coding: Chemists","binary",91149,270045,90069,1080
"22617_5223","Job SOC coding: Metal working production and maintenance fitters","binary",91149,270045,89941,1208
"22617_2131","Job SOC coding: IT strategy and planning professionals","binary",91149,270045,89286,1863
"22617_6139","Job SOC coding: Animal care occupations n.e.c.","binary",91149,270045,90991,158
"22617_6231","Job SOC coding: Housekeepers and related occupations","binary",91149,270045,90826,323
"22617_2434","Job SOC coding: Chartered surveyors (not quantity surveyors)","binary",91149,270045,90356,793
"22617_4135","Job SOC coding: Library assistants/clerks","binary",91149,270045,90397,752
"22617_6123","Job SOC coding: Playgroup leaders/assistants","binary",91149,270045,90690,459
"22617_5241","Job SOC coding: Electricians, electrical fitters","binary",91149,270045,90088,1061
"22617_1231","Job SOC coding: Property, housing and land managers","binary",91149,270045,90801,348
"22617_2317","Job SOC coding: Registrars and senior administrators of educational establishments","binary",91149,270045,89702,1447
"22617_2423","Job SOC coding: Management consultants, actuaries, economists and statisticians","binary",91149,270045,90079,1070
"22617_4141","Job SOC coding: Telephonists","binary",91149,270045,90489,660
"22617_6111","Job SOC coding: Nursing auxiliaries and assistants","binary",91149,270045,89848,1301
"22617_3111","Job SOC coding: Laboratory technicians","binary",91149,270045,88547,2602
"22617_3433","Job SOC coding: Public relations officers","binary",91149,270045,90632,517
"22617_3131","Job SOC coding: IT operations technicians","binary",91149,270045,90047,1102
"22617_3413","Job SOC coding: Actors, entertainers","binary",91149,270045,90957,192
"22617_4131","Job SOC coding: Filing and other records assistants/clerks","binary",91149,270045,89612,1537
"22617_3217","Job SOC coding: Pharmaceutical dispensers","binary",91149,270045,90980,169
"22617_3411","Job SOC coding: Artists","binary",91149,270045,90958,191
"22617_1223","Job SOC coding: Restaurant and catering managers","binary",91149,270045,90579,570
"22617_2443","Job SOC coding: Probation officers","binary",91149,270045,90909,240
"22617_4112","Job SOC coding: Civil Service administrative officers and assistants","binary",91149,270045,87059,4090
"22617_2311","Job SOC coding: Higher education teaching professionals","binary",91149,270045,88049,3100
"22617_5111","Job SOC coding: Farmers","binary",91149,270045,90979,170
"22617_3421","Job SOC coding: Graphic designers","binary",91149,270045,90829,320
"22617_7112","Job SOC coding: Retail cashiers and check-out operators","binary",91149,270045,90225,924
"22617_9111","Job SOC coding: Farm workers","binary",91149,270045,90768,381
"22617_3112","Job SOC coding: Electrical/electronics technicians","binary",91149,270045,90196,953
"22617_8139","Job SOC coding: Assemblers and routine operatives n.e.c.","binary",91149,270045,89919,1230
"22617_5221","Job SOC coding: Metal machining setters and setter-operators","binary",91149,270045,90833,316
"22617_2113","Job SOC coding: Physicists, geologists and meteorologists","binary",91149,270045,90416,733
"22617_3532","Job SOC coding: Brokers","binary",91149,270045,90484,665
"22617_6124","Job SOC coding: Educational assistants","binary",91149,270045,88845,2304
"22617_2124","Job SOC coding: Electronics engineers","binary",91149,270045,90218,931
"22617_3542","Job SOC coding: Sales representatives","binary",91149,270045,90007,1142
"22617_6219","Job SOC coding: Leisure and travel service occupations n.e.c.","binary",91149,270045,90947,202
"22617_2122","Job SOC coding: Mechanical engineers","binary",91149,270045,89554,1595
"22617_2316","Job SOC coding: Special needs education teaching professionals","binary",91149,270045,89940,1209
"22617_2422","Job SOC coding: Management accountants","binary",91149,270045,90380,769
"22617_1122","Job SOC coding: Managers in construction","binary",91149,270045,90089,1060
"22617_9134","Job SOC coding: Packers, bottlers, canners, fillers","binary",91149,270045,90584,565
"22617_2128","Job SOC coding: Planning and quality control engineers","binary",91149,270045,90816,333
"22617_1161","Job SOC coding: Transport and distribution managers","binary",91149,270045,90642,507
"22617_2329","Job SOC coding: Researchers n.e.c.","binary",91149,270045,90121,1028
"22617_6113","Job SOC coding: Dental nurses","binary",91149,270045,90912,237
"22617_4121","Job SOC coding: Credit controllers","binary",91149,270045,90743,406
"22617_5323","Job SOC coding: Painters and decorators","binary",91149,270045,90783,366
"22617_2432","Job SOC coding: Town planners","binary",91149,270045,90928,221
"22617_5222","Job SOC coding: Tool makers, tool fitters and markers-out","binary",91149,270045,90839,310
"22617_1183","Job SOC coding: Healthcare practice managers","binary",91149,270045,90958,191
"22617_3562","Job SOC coding: Personnel and industrial relations officers","binary",91149,270045,89703,1446
"22617_2444","Job SOC coding: Clergy","binary",91149,270045,90616,533
"22617_5244","Job SOC coding: TV, video and audio engineers","binary",91149,270045,90918,231
"22617_3319","Job SOC coding: Protective service associate professionals n.e.c.","binary",91149,270045,91011,138
